ZnI	2138.5735	1.47	714000000
VII	2138.827	0.082	40000000
VII	2141.767	0.00805	3900000
CdII	2145.0697	0.498	361000000
FeI	2167.4534	0.15	274000000
FeII	2234.4472	2.52E-05	275000000
FeII	2249.8768	0.00182	331000000
FeII	2260.77934	0.00244	258000000
AlI	2264.1647	0.0892	71400000
CdII	2265.7152	0.247	321000000
CaI	2276.169	0.0661	28400000
FeI	2298.8769	0.0245	135000000
SrI	2307.974	0.0288	12000000
NiI	2311.669	0.3765	470000000
NiI	2320.7468	0.685	694000000
SiII	2335.123	4.25E-06	9610
FeII	2344.21282	0.114	268000000
SrI	2355.029	0.0479	19200000
FeII	2367.5895925	2.16E-05	307000000
AlI	2367.775	0.106	75800000
FeII	2374.46013	0.0313	309000000
FeII	2382.76411	0.32	313000000
SrI	2428.828	0.0468	183000000
FeI	2463.3922	0.0532	500000000
FeI	2484.0209	0.544	500000000
FeI	2501.8858	0.0493	385000000
SiI	2515.0725	0.211	222000000
FeI	2523.6083	0.203	385000000
ZrII	2551.518	0.05	100000000
ScII	2563.958	0.0887	270000000
ZrII	2568.424	0.135	100000000
SrI	2570.238	0.0166	221000000
MnII	2576.87534	0.361	282000000
FeII	2586.64937	0.0691	272000000
MnII	2594.49669	0.28	278000000
FeII	2600.17223	0.239	270000000
MnII	2606.45883	0.198	272000000
NbII	2668.088	0.0955	323000000
VII	2683.887	0.109	286000000
VII	2706.021	0.0142	213000000
ZrII	2712.306	0.049	100000000
FeI	2719.8329	0.122	175000000
VII	2740.525	0.101	30000000
ZrII	2743.349	0.204	100000000
ZrII	2759.607	0.091	100000000
ZrII	2762.693	0.01	100000000
MgIIc	2796.3473	0.6155	262500000
MgIIb	2796.3511	0.6155	262500000
MgII	2796.3542699	0.6155	268000000
MgIIa	2796.3553	0.6155	262500000
MgIIc	2803.5244	0.3058	259500000
MgIIb	2803.5283	0.3058	259500000
MgII	2803.5314853	0.3058	266000000
MgIIa	2803.5324	0.3058	259500000
NaI	2852.811	0.00135	554000
MgIc	2852.959591	1.83	500000000
MgIb	2852.9614069	1.83	500000000
MgI	2852.96282	1.83	500000000
MgIa	2852.9634198	1.83	500000000
NaI	2853.012	0.000677	554000
NbII	2866.452	0.0603	175000000
FeI	2967.7646	0.0438	127000000
FeI	3021.5187	0.104	169000000
TiII	3067.2379	0.0489	250000000
TiII	3073.8633	0.121	256000000
AlI	3083.0462	0.177	74500000
YII	3112.932	0.00654	348000000
BeII	3131.3292	0.3321	113000000
BeII	3131.9742	0.166	112900000
ZrII	3209.2401	0.01	100000000
TiII	3230.1221	0.0687	244000000
TiII	3242.9184	0.232	244000000
ZrII	3273.1651	0.05	100000000
ZrII	3285.6581	0.083	100000000
NaI	3303.369	0.0092	9641000
NaI	3303.978	0.0046	9639000
ZrII	3358.2263	0.046	100000000
TiII	3384.7304	0.358	175000000
ZrII	3389.2675	0.065	100000000
ScII	3568.715	0.111	213000000
ZrII	3573.4879	0.167	100000000
ScII	3581.947	0.237	213000000
ScII	3643.822	0.375	161000000
FeI	3720.9928	0.0411	16300000
CaII	3934.775	0.6267	144400000
AlI	3945.1224	0.116	148000000
CaII	3969.5901	0.3116	140900000
SrII	4078.861	0.701	150000000
SrII	4216.707	0.334	135000000
CaI	4227.918	1.77	220000000
HI2	4341.69	0.04437	9425000
SrI	4608.617	2.01	210000000
HI2	4862.688	0.1218	20620000
NaI	5891.5833	0.6408	61570000
NaI	5897.5581	0.3201	61390000
HI2	6564.623	0.6958	64650000
P	V	1128.0078	0.233
P	V	1117.9774	0.472
O	VI	1037.6167	0.0658
O	VI	1031.9261	0.1325
S	VI	944.523	0.215
S	VI	933.378	0.437
O	VII	21.60169	0.696
O	VII	18.62799	0.146











{'ID': 'HI', 'lam_0': 1215.6701, 'f': 0.4164, 'gamma': 626500000.0}
{'ID': 'FeII', 'lam_0': 1144.9379, 'f': 0.083, 'gamma': 352000000.0}
{'ID': 'FeII', 'lam_0': 1143.226, 'f': 0.0192, 'gamma': 98100000.0}
{'ID': 'FeII', 'lam_0': 1142.3656, 'f': 0.00401, 'gamma': 25600000.0}
{'ID': 'FeII', 'lam_0': 1611.2005, 'f': 0.00138, 'gamma': 286000000.0}
{'ID': 'Fe18', 'lam_0': 1608.45081, 'f': 0.0577, 'gamma': 274000000.0}
{'ID': 'NiII', 'lam_0': 1317.217, 'f': 0.146, 'gamma': 420500000.0}
{'ID': 'NiII', 'lam_0': 1370.132, 'f': 0.0769, 'gamma': 410000000.0}
{'ID': 'NiII', 'lam_0': 1454.842, 'f': 0.0276, 'gamma': 102000000.0}
{'ID': 'NiII', 'lam_0': 1502.148, 'f': 0.006, 'gamma': 39320000.0}
{'ID': 'NiII', 'lam_0': 1709.6042, 'f': 0.0324, 'gamma': 435000000.0}
{'ID': 'NiII', 'lam_0': 1741.5531, 'f': 0.0427, 'gamma': 500000000.0}
{'ID': 'NiII', 'lam_0': 1751.9157, 'f': 0.0277, 'gamma': 370000000.0}
{'ID': 'PII', 'lam_0': 1152.818, 'f': 0.245, 'gamma': 1230000000.0}
{'ID': 'CI', 'lam_0': 1188.8329, 'f': 0.0124, 'gamma': 19500000.0}
{'ID': 'CI', 'lam_0': 1277.2452, 'f': 0.0853, 'gamma': 232000000.0}
{'ID': 'CI', 'lam_0': 1280.1352, 'f': 0.0263, 'gamma': 106000000.0}
{'ID': 'CI', 'lam_0': 1328.8333, 'f': 0.0758, 'gamma': 288000000.0}
{'ID': 'CI', 'lam_0': 1560.3092, 'f': 0.0774, 'gamma': 127000000.0}
{'ID': 'CI', 'lam_0': 1656.9284, 'f': 0.149, 'gamma': 360000000.0}
{'ID': 'SiII', 'lam_0': 1190.4158, 'f': 0.292, 'gamma': 4080000000.0}
{'ID': 'SiII', 'lam_0': 1193.2897, 'f': 0.582, 'gamma': 4070000000.0}
{'ID': 'SiII', 'lam_0': 1260.4221, 'f': 1.18, 'gamma': 2950000000.0}
{'ID': 'SiII', 'lam_0': 1304.3702, 'f': 0.0863, 'gamma': 1010000000.0}
{'ID': 'MnII', 'lam_0': 1197.184, 'f': 0.1566, 'gamma': 784000000.0}
{'ID': 'NI', 'lam_0': 1200.7098, 'f': 0.0432, 'gamma': 400000000.0}
{'ID': 'NI', 'lam_0': 1200.2233, 'f': 0.0869, 'gamma': 402000000.0}
{'ID': 'NI', 'lam_0': 1199.5496, 'f': 0.132, 'gamma': 407000000.0}
{'ID': 'SiIII', 'lam_0': 1206.5, 'f': 1.63, 'gamma': 2480000000.0}
{'ID': 'NV', 'lam_0': 1238.821, 'f': 0.156, 'gamma': 339100000.0}
{'ID': 'NV', 'lam_0': 1242.804, 'f': 0.077, 'gamma': 335600000.0}
{'ID': 'MgII', 'lam_0': 1239.9253, 'f': 0.000632, 'gamma': 1370000.0}
{'ID': 'MgII', 'lam_0': 1240.3947, 'f': 0.000356, 'gamma': 1540000.0}
{'ID': 'SII', 'lam_0': 1250.578, 'f': 0.00543, 'gamma': 46300000.0}
{'ID': 'SII', 'lam_0': 1253.805, 'f': 0.0109, 'gamma': 46200000.0}
{'ID': 'SII', 'lam_0': 1259.518, 'f': 0.0166, 'gamma': 46500000.0}
{'ID': 'OI', 'lam_0': 1302.1685, 'f': 0.048, 'gamma': 565000000.0}
{'ID': 'CII', 'lam_0': 1334.5323, 'f': 0.1278, 'gamma': 288000000.0}
{'ID': 'CII*', 'lam_0': 1335.7077, 'f': 0.115, 'gamma': 288000000.0}
{'ID': 'SiIV', 'lam_0': 1393.76018, 'f': 0.513, 'gamma': 880000000.0}
{'ID': 'SiIV', 'lam_0': 1402.77291, 'f': 0.254, 'gamma': 862000000.0}
{'ID': 'Si26', 'lam_0': 1526.70698, 'f': 0.133, 'gamma': 1130000000.0}
{'ID': 'CIV', 'lam_0': 1548.2049, 'f': 0.1899, 'gamma': 264200000.0}
{'ID': 'CIV', 'lam_0': 1550.77845, 'f': 0.09475, 'gamma': 262800000.0}
{'ID': 'AlII', 'lam_0': 1670.7886, 'f': 1.74, 'gamma': 1390000000.0}
